model,fold,test_pid,group_overlap,dup_rows,train_acc_leaky,test_acc_leaky,gap_leaky,train_acc_clean,test_acc_clean,gap_clean,leak_gain_test
RF,10,10,0,0,0.9990694056696807,0.35888888888888887,0.6401805167807919,0.9988332847201967,0.8741666666666666,0.12466661805353008,-0.5152777777777777
RF,11,11,0,0,0.9990416267344473,0.6941666666666667,0.3048749600677806,0.9989166215258969,0.6941666666666667,0.3047499548592302,0.0
XGBoost,1,1,0,0,1.0,0.6607070707070707,0.3392929292929293,0.9999695572096138,0.9994949494949495,0.00047460771466423246,-0.33878787878787886
XGBoost,2,2,0,0,1.0,0.5966666666666667,0.4033333333333333,0.999969968617205,0.9993333333333333,0.0006366352838717004,-0.4026666666666666
XGBoost,3,3,0,0,1.0,0.9508641975308642,0.04913580246913585,0.9999259226335986,1.0,-7.407736640141493e-05,-0.04913580246913585
XGBoost,4,4,0,0,1.0,0.8839506172839506,0.11604938271604937,0.9999259226335986,1.0,-7.407736640141493e-05,-0.11604938271604937
XGBoost,5,5,0,0,1.0,0.9188888888888889,0.08111111111111113,0.9999111071603183,0.9988888888888889,0.0010222182714293426,-0.08000000000000007
XGBoost,6,6,0,0,1.0,0.9798380695348468,0.020161930465153244,0.999913417414644,0.945546912208287,0.054366505206356996,0.03429115732655974
XGBoost,7,7,0,0,1.0,0.7995276465684913,0.2004723534315087,0.9999122794192897,0.9085857182550708,0.09132656116421889,-0.10905807168657955
XGBoost,8,8,0,0,1.0,0.85375,0.14625,0.999912276854248,0.9702777777777778,0.0296344990764702,-0.11652777777777779
XGBoost,9,9,0,0,1.0,0.8822222222222222,0.11777777777777776,0.9999718694178376,0.9966666666666667,0.003305202751170855,-0.11444444444444446
XGBoost,10,10,0,0,1.0,0.44472222222222224,0.5552777777777778,0.999902773726683,0.8463888888888889,0.15351388483779416,-0.4016666666666666
XGBoost,11,11,0,0,1.0,0.7883333333333333,0.21166666666666667,0.9999305526619164,0.8094444444444444,0.19048610821747203,-0.02111111111111108
LightGBM,1,1,0,0,0.9998782288384553,0.6436363636363637,0.35624186520209167,0.9999391144192277,0.9994949494949495,0.00044416492427812315,-0.3558585858585859
LightGBM,2,2,0,0,0.9998798744688199,0.5975555555555555,0.40232431891326437,0.99993993723441,0.9993333333333333,0.0006066039010766966,-0.4017777777777778
LightGBM,3,3,0,0,0.9998666607404774,0.9179012345679012,0.08196542617257618,0.9998073988473561,1.0,-0.00019260115264385647,-0.08209876543209882
LightGBM,4,4,0,0,0.9998666607404774,0.6125925925925926,0.3872740681478848,0.9998222143206364,1.0,-0.00017778567936355127,-0.3874074074074074
LightGBM,5,5,0,0,0.9999259226335986,0.9558024691358025,0.04412345349779612,0.9997629524275153,0.9988888888888889,0.0008740635386264017,-0.04308641975308647
LightGBM,6,6,0,0,0.9999278478455367,0.9798380695348468,0.02008977831068992,0.9998412652601807,0.9769804730909668,0.022860792169213884,0.0028575964438799506
LightGBM,7,7,0,0,0.9999122794192897,0.7397888302306196,0.26012344918867014,0.9998099387417945,0.7447902195054181,0.25501971923637634,-0.00500138927479854
LightGBM,8,8,0,0,0.999941517902832,0.815,0.1849415179028321,0.999766071611328,0.9944444444444445,0.005321627166883558,-0.17944444444444452
LightGBM,9,9,0,0,0.9999578041267564,0.8822222222222222,0.11773558190453415,0.9998312165070257,0.9966666666666667,0.0031645498403589656,-0.11444444444444446
LightGBM,10,10,0,0,0.9999305526619164,0.7675,0.23243055266191648,0.9998194369209829,0.55,0.4498194369209828,0.21749999999999992
LightGBM,11,11,0,0,0.9999166631942997,0.6944444444444444,0.3054722187498553,0.9998194369209829,0.6961111111111111,0.3037083258098717,-0.0016666666666667052
